Date,Open,High,Low,Close,Adj Close,Volume
2022-08-10,56.200001,56.549999,54.500000,55.950001,55.950001,200699912
2022-08-11,56.900002,58.150002,56.349998,57.900002,57.900002,130942734
2022-08-12,58.099998,63.099998,57.900002,61.750000,61.750000,351208957
2022-08-16,62.650002,67.449997,62.500000,64.250000,64.250000,250686966
2022-08-17,64.800003,65.599998,61.799999,65.250000,65.250000,258066522
2022-08-18,65.599998,69.250000,65.000000,67.099998,67.099998,303566868
2022-08-19,67.400002,68.250000,60.150002,61.450001,61.450001,295737752
2022-08-22,61.000000,62.849998,59.250000,62.000000,62.000000,226773007
2022-08-23,62.299999,65.250000,62.150002,64.449997,64.449997,218585102
2022-08-24,64.099998,64.199997,61.700001,62.200001,62.200001,116401002
2022-08-25,62.799999,63.200001,61.650002,62.099998,62.099998,81137105
2022-08-26,62.400002,62.700001,60.549999,61.849998,61.849998,87939030
2022-08-29,59.700001,60.549999,58.349998,59.200001,59.200001,98493347
2022-08-30,60.200001,61.250000,57.299999,57.950001,57.950001,162054037
2022-09-01,58.700001,63.150002,58.250000,62.450001,62.450001,192477817
2022-09-02,63.400002,63.400002,59.400002,59.750000,59.750000,137946710
2022-09-05,60.450001,60.799999,59.299999,59.650002,59.650002,84539046
2022-09-06,60.299999,60.799999,59.400002,59.700001,59.700001,70186636
2022-09-07,59.650002,60.400002,59.200001,59.500000,59.500000,59843737
2022-09-08,60.349998,62.500000,59.799999,61.349998,61.349998,128430049
2022-09-09,62.000000,63.650002,62.000000,62.799999,62.799999,139369425
2022-09-12,63.000000,63.200001,62.250000,62.549999,62.549999,64044347
2022-09-13,63.000000,66.599998,62.799999,65.449997,65.449997,199032705
2022-09-14,64.050003,65.150002,62.750000,63.299999,63.299999,119824317
2022-09-15,64.000000,64.900002,63.299999,64.599998,64.599998,88185944
2022-09-16,64.400002,65.000000,61.099998,63.200001,63.200001,196537446
2022-09-19,64.199997,65.449997,63.450001,63.950001,63.950001,70453100
2022-09-20,64.900002,65.699997,62.400002,62.849998,62.849998,77904810
2022-09-21,63.299999,63.950001,62.400002,63.450001,63.450001,59131994
2022-09-22,62.900002,63.750000,62.599998,63.299999,63.299999,34716572
2022-09-23,63.000000,63.349998,60.400002,60.799999,60.799999,56730282
2022-09-26,60.000000,60.650002,57.400002,57.799999,57.799999,65832873
2022-09-27,58.150002,59.750000,56.950001,58.849998,58.849998,79641870
2022-09-28,57.799999,59.250000,57.500000,58.049999,58.049999,64334024
2022-09-29,59.200001,62.000000,58.900002,61.200001,61.200001,76969699
2022-09-30,61.500000,62.849998,59.750000,62.349998,62.349998,71494895
2022-10-03,62.000000,63.099998,61.200001,61.900002,61.900002,44528871
2022-10-04,63.099998,64.449997,63.000000,64.050003,64.050003,47077008
2022-10-06,64.400002,66.150002,64.250000,65.550003,65.550003,59866072
2022-10-07,65.150002,70.199997,64.599998,69.550003,69.550003,170879536
2022-10-10,68.400002,69.699997,67.500000,68.699997,68.699997,87158481
2022-10-11,68.400002,69.199997,65.000000,65.550003,65.550003,70171064
2022-10-12,65.650002,66.449997,63.049999,63.750000,63.750000,67799710
2022-10-13,64.099998,64.650002,61.000000,61.250000,61.250000,73750800
2022-10-14,63.000000,64.150002,61.599998,61.900002,61.900002,85139332
2022-10-17,61.900002,63.250000,61.150002,62.650002,62.650002,56007734
2022-10-18,63.650002,64.400002,62.750000,63.000000,63.000000,49431277
2022-10-19,63.400002,63.700001,61.500000,62.049999,62.049999,52638798
2022-10-20,61.700001,62.000000,60.849998,61.299999,61.299999,57513138
2022-10-21,61.799999,63.200001,61.299999,61.799999,61.799999,65825881
2022-10-24,62.900002,62.950001,62.049999,62.349998,62.349998,7775480
2022-10-25,62.700001,64.900002,62.400002,64.599998,64.599998,81043498
2022-10-27,64.099998,65.650002,63.500000,65.099998,65.099998,64853360
2022-10-28,65.250000,65.699997,62.299999,62.599998,62.599998,56787309
2022-10-31,63.599998,63.849998,62.099998,63.099998,63.099998,45949861
2022-11-01,63.500000,63.750000,62.700001,63.500000,63.500000,50425928
2022-11-02,63.750000,64.699997,62.700001,63.000000,63.000000,52915032
2022-11-03,62.799999,62.799999,62.000000,62.200001,62.200001,31729457
2022-11-04,62.750000,63.650002,62.450001,63.000000,63.000000,35296904
2022-11-07,63.849998,65.449997,63.250000,65.099998,65.099998,56815391
